Disease,S1,S2,S3,S4,S5,S6
"Mental retardation, x-linked, 16",Personality changes,Slow progressing spasticity,Slow progressing pyramidal signs,Mild facial dysmorphism,Slow progressing weakness,Resting tremors
Arthrogryposis -- epileptic seizures -- migrational brain disorder,Facial structural asymmetry,Thick hair,Amyotrophy,Ptosis,Dense scalp hair,Mental retardation
Cerebelloparenchymal autosomal recessive disorder 3,High arched foot,Behavioral problems,Changes in retinal blood vessels,Reduced muscle tone,Malabsorption,Albinism
Tricho-dento-osseous syndrome ii,Thin nails,Widely spaced teeth,Small head,Increased bone density,Round face,Kinky hair
Spondyloepiphyseal dysplasia tarda progressive arthropathy,Swollen finger joints,"Stiffness, especially in the morning",Easy fatigability,Walking difficulties,Muscle weakness,Large joint contractures
Prednisolone -- teratogenic agent,Lipodermoids,Small head,Dandy walker malformations,Oral clefts,Urinary tract abnormalities,Epibulbar dermoid
Corneal graft rejection,Eye pain,Light sensitive eyes,Irritated eyes,Impaired vision,Red eyes,
Scheuermann's disease,Backaches,Abnormal vertebral shape,Kyphosis,Rounded back,Abnormal vertebral size,Round shoulders
"Hyperpigmentation, cutaneous, with hypertrichosis, hepatosplenomegaly, heart anomalies, hearing loss, and hypogonadism",Short statures,Enlarged liver,Small penis,Camptodactyly,Excessive hair - mainly on inner thigh,Clinodactyly
Bonnemann-meinecke-reich syndrome,Short statures,Spasticity,Growth hormone deficiency,Calcification inside brain,Small head,Encephalopathy
"Spinal muscular atrophy, ryukyuan type",Reduced deep tendon reflex,Arm wasting,Absent deep tendon reflexes,Weakness in the legs,Flat feet,Skeletal abnormalities
Munk disease,Loss of appetite,Reduced urine,Low blood protein level,Frothy urine,High level of lipids in blood,Excessive lipid level in the urine
Lethal arthrogryposis with anterior horn cell disease (laahd),Fetal akinesia deformation sequence,Death soon after birth,Anterior horn motor neuron loss,Malpositioned extremities,Reduced or absent fetal movement,Low set ears
"Neuraminidase deficiency, type ii, juvenile form",Involuntary muscle contractions,Glucosidosis,Dysostosis multiplex,Rapid involuntary eye movements,Cherry red spots on macula,Coarse face
Breathing-related sleep disorder,Systemic hypertension,Adenoid hypertrophy,Craniofacial dysmorphology,Macroglossia,Difficulty concentraing,Poor memory
Temporal lobectomy behavior syndrome,Inability to recognize people,Homosexuality,Placid,Autosexuality,Tendency to explore objects with mouth,Tendency to touch everything
Sleeping pill addiction,Nausea,Uncontrollable craving for tranquilizers,Loss of appetite,Obsessive thoughts about tranquilizers,Secrecy about use of tranquilizers,Hallucinations
Herbal agent overdose -- ginseng,Agitation,Euphoria,Skin eruptions,Stephens-johnson syndrome - adverse reaction,High blood pressure,Diarrhea
"Arthropathy, progressive pseudorheumatoid, of childhood",Short statures,Hand anomalies,Abnormal vertebral shape,Kyphosis,Abnormal vertebral size,Hip anomalies
"Camptodactyly, fibrous tissue hyperplasia, and skeletal dysplasia",Flared nostrils,Expressionless face,Camptodactyly,Long feet,Patent ductus arteriosus,Long thin toes
Juvenile primary lateral sclerosis,Muscle spasms,Inability to walk,Slurred speech,Problems with balance,Progressive leg weakness,Progressive arm stiffness
Guyon tunnel syndrome,Numbness in hands,Tingling in the ring finger - initial symptom,Tingling in the little finger - initial symptom,Reduced sensation in ring finger,Reduced sensation in the little finger,Weakened muscles in palm of hand
"Stickler syndrome, type iii",Soft cleft palate,Underdeveloped mid face,Anteverted nostrils,Epicanthal folds,Short nose,Reduced muscle tone
Wolf-hirschorn syndrome,Hearing difficulties,Small head,Ptosis,Learning difficulties,Low set ears,Failure to thrive
Congenital short bowel,Fatty stools,Mineral deficiencies,Malabsorption,Distended stomach,Diarrhea,Failure to thrive
Congenital spherocytic hemolytic anemia,Surgical removal of spleen,Delayed puberty,Jaundice,Irritability,Abdominal discomfort,Spherical red blood cells
Familial hyperlipoproteinemia type 3,Increased blood uric acid level,Premature atherosclerosis of coronary artery,Premature atherosclerosis of abdominal artery,Premature atherosclerosis of carotid artery,Premature atherosclerosis of femoral artery,Glucose intolerance
Yellow nail syndrome,Underdeveloped lymphatics,Bronchiectasis,Ankle swelling,Yellow nails,Cough,Limb pains
Etodolac -- teratogenic agent,Hydrops,Oral clefts,Patent ductus arteriosus,Intraventricular hemorrhage,Bronchopulmonary dysplasia,Limb reduction defects
Tapetal-like reflex,Yellow greenish spots on posterior of retina,Night blindness,Progressive vision loss,Ring scotoma,No loss of vision,Peripheral vision loss
Tertiary hypothyroidism,Dry skin,Intolerance to cold,Menstrual disorders,Slow speech,Puffy face,Constipations
Metolazone -- teratogenic agent,Bowel obstruction,Potter's facies,Exencephaly,Patent ductus arteriosus,Hyperechogenic kidneys,Varus of the foot
"Renal cell carcinoma, papillary, hereditary",Nausea,Red urine,Palpable mass,Malaise,Swollen lower legs,Brown urine
Miescher syndrome (2),Short statures,Acanthosis nigricans,Large ears,Malformed teeth,Low set ears,Excess scalp hair
Congenital afibrinogenemia,Hemorrhage in central nervous system,Bleeding umbilical cord,Impaired blood clotting,Bruises,Excessive bleeding following injury or surgery,Prolonged bleeding time
Devil's ivy poisoning,Salivations,Mouth swelling,Eye pain,Corneal abrasions,Diarrhea,Speaking problems - ingestion
Robinow syndrome,Wide nose bridge,Kidney defects,Sensitivity to light,Small penis,Short fingers,Delayed development
Say-barber-miller syndrome,Short statures,High arched palate,Delayed development,Eczema,Small head,Protruding ears
"Simpson-golabi-behmel syndrome, type 1 (sgbs1)",Ventricular septal defects,Enlarged tongue,Abnormal heart rhythm,Extra nipples,Short fingers,Cleft lower lip
Stickler's syndrome,Soft cleft palate,Underdeveloped mid face,Anteverted nostrils,Severe arthropathy,Epicanthal folds,Aphakia
Whelan syndrome,Rough hair,Joined fingers,Sparse hair,Tongue nodule,Dry scalp,Split tongue
Wolfram syndrome 2,Wasting of testicles,Hallucinations,Megaloblastic anemia,Speaking difficulty,Headaches,Hydroureter
"Maple syrup urine disease, type 3",Irregular breathing,Opisthotonos,Reduced muscle tone,Neurological damage,Feeding difficulties,Pharyngeal abnormality
Peripheral type neurofibromatosis,Paresthesia,Hearing difficulties,Bone abnormalities,Epilepsy,Skin abnormalities,Progressive vision loss
Large granular lymphocyte leukemia,Enlarged liver,Night sweats,Lymphocytosis,Recurring infections,Neutropenia,Lymphadenopathy
"Emphysema, congenital lobar",Rales,Underdeveloped bronchial cartilage,Absence of bronchial cartilage,Thoracic asymmetry,Overinflated lung,Gigantism of pulmonary acini
Hemiconvulsion-hemiplegia-epilepsy syndrome,Tonic-clonic seizures,Weakness on one side of body,Head deviation during convulsion,Eye deviation during convulsion,Excessive salivation during convulsion,Partial seizures
Cat eye syndrome,Short statures,Preauricular tags,Strabismus,Ventricular septal defects,Atresia of external auditory canal,Low neck hairline
Chromosome 4 ring,Preauricular tags,Short philtrum,Dysplastic ears,Retarded ossification,Small head,Dacryostenosis
Alcohol -- teratogenic agent,Ventricular septal defects,Failure of kidney to develop,Craniofacial anomalies,Small head,Arm defects,Missing or shortened arm bones
Occupational liver damage -- stibine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- tetrachloroethylene,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
River blindness,Optic nerve inflammation,Iris inflammation,Urticarial rash,Itchy skin,Spotty skin,Lymphadenitis
Occupational liver damage -- styrene/ethyl benzene,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- tetramethylthiuram disulfide,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Glutaryl-coa dehydrogenase deficiency,Dilated brain ventricles,Enlarged liver,Irritability in infant,Reduced muscle tone,Spastic diplegia,Opisthotonus
Glutaricaciduria type 1,Dilated brain ventricles,Enlarged liver,Irritability in infant,Reduced muscle tone,Spastic diplegia,Opisthotonus
Chronic myeloproliferative disorders,Easy bruising,Hand tingling,Bone pain,Hand swelling,Hearing difficulties,Throat swelling
I cell disease,Thick skin,Skeletal deformities,Enlarged liver,Heart valve dysfunction,Clear corneas,Cavernous hemangiomata
Budd-chiari syndrome,Nausea,Upper abdominal and back pain,Enlarged liver,Portal hypertension,Smooth liver,Hemoglobin in urine
Nonkeratan-sulfate-excreting morquio syndrome,Wide upper arm bone,Protruding abdomen,Joint hypermobility,Spinal cord compression,Kyphosis,Osteoporosis
Joubert syndrome 7,Large head,Hyperactivity,Aggressiveness,Protruding tongue,Anteverted nostrils,Epicanthal folds
Hypermethioninemia due to s-adenosylhomocysteine hydrolase deficiency,High blood methionine level,Psychomotor retardation,Absent tendon reflexes,Heart muscle disease,Abnormal teeth,Motor retardation
Esthesioneuroblastoma,Nausea,Nasal discharge,Facial pain,Diplopia,Fainting,Facial swelling
Essential mixed cryoglobulinemia,Blood problems,Anasarca,Inflamed blood vessels,Hypertension,Edema,Skin abnormalities
Essential thrombocytopenia,Easy bruising,Bleeding in mucous membranes,Skin hemorrhage,Hemorrhages in the skull,Nose bleeding,Skin bleeding
Cherubism,Abnormal teeth,Thick gums,Swollen cheeks,Enlarged jaw,Enlarged lymph nodes under jaw,Prominent lower face
"Oral facial digital syndrome, type iv",Short statures,Extra little fingers,Extra thumbs,Short limbs,Rough hair,Extra little toes
"Sjogren syndrome, secondary",Dry mouth,Rashes,Conjunctivitis,Dry throat,Dry skin,Sore mouth
Sjogren-larsson syndrome,Increased deep tendon reflexes in legs,Thickening of face skin,Thickening of scalp skin,Thickened skin on face,Thickened skin on scalp,Skin redness
"Occupational liver damage -- 1,1,1-tetrachloroethane",Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Occupational liver damage -- 1,2-dichloroethane",Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Occupational liver damage -- 1,1,2-tetrachloroethane",Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Occupational liver damage -- 1,2-dibromoethane",Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Acrocallosal syndrome,Strabismus,Short philtrum,Large anterior fontanels,Fifth finger clinodactyly,Epicanthal folds,Syndactyly of toes
Type a influenza subtype h7n2,Sore throat,Red throat,Watery eyes,Red nose,Loss of appetite,Aching body
Occupational liver damage -- ethylene dichloride,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- ethylene dibromide,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- ethyl salicylate,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- ethyl ether,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- ethyl alcohol,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- phosphorus,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- phthalic anhydride,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- picric acid,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Pollen food allergy syndrome,Nausea,Tongue redness,Throat swelling,Soft palate redness,Swollen palate,Tongue swelling
Inborn urea cycle disorder,Dislike of eating high protein foods,Coma,Agitation,Acidosis,Psychomotor retardation,Brain damage
"Chromosome 16q, partial deletion",Arched eyebrows,Short space between eyelids,Large anterior fontanels,Small head,Broad toes,Flexed fingers
"Non-food allergy -- fungus, alternaria",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
Non-food allergy -- eugenol,Nausea,Watery eyes,Loss of voice,Itchy skin,Skin redness,Tingling lips
"Non-food allergy -- fungus, aspergillus spp",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
"Thrombotic thrombocytopenic purpura, acquired",Nausea,Abnormal heart rhythm,Mucus membrane hemorrhage,Decreased urine flow,Altered brain metabolism,Salt retention in blood
Plant toxin-induced liver damage -- tannic acid,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- aliphatic hydrocarbons,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- aliphatic amines,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Chromosome 11q duplication syndrome,Preauricular tags,Strabismus,Ventricular septal defects,Infant excessive muscle tone,Abnormal lung lobation,Dysplastic ears
"Chromosome 1, partial trisomy",Monobrow,Small head,Psychomotor retardation,Narrowing of parts of the gastrointestinal tract,Inguinal hernias,Long groove in upper lip
"Chromosome 1, monosomy 1q4",Short statures,Ventricular septal defects,Abnormal number of ribs,Abnormal voice,Small head,Abnormal kidney development
Lenz majewski hyperostotic dwarfism,Short statures,Nasolacrimal duct stenosis,Inguinal hernias,Choanal stresia,Thick ribs,Thick calvicles
Non-food allergy -- bumblebee,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Throat swelling
Leprechaunism,Wide nostrils,Leydig cell hyperplasia,Hirsutism,Large feet,Cystic ovaries,Large phallus
Hurler syndrome,Thick skin,Skeletal deformities,Flared nostrils,Enlarged liver,Large head,Scaphocephalic large head
Chemical poisoning -- dimethylamine,Rhinitis,Fluid in lungs,Mucous membrane burns,Conjunctivitis,Breathing difficulties,Nose irritation
Chemical poisoning -- dimethyl phthalate,Nausea,Coma,Reduced blood pressure,Paralysis,Gastrointestinal irritation,Diarrhea
Chemical poisoning -- dinitrophenol,Nausea,Yellow skin stain,Neuropathies,Metabolic acidosis,Yellow feces,Headaches
Bronchiolitis obliterans -- ammonia inhalation,Non-productive cough,Breathing difficulties,Finger clubbing,Shortness of breath,,
Type iib hyperlipoproteinemia,High levels of very low density lipoproteins,Whitish edges of cornea,Yellowish patches around eyelids,"Lumps on tendons - mainly hands, feet and achilles tendon",High level of apoprotein b,High triglyeride level
Menkes disease,Thick skin,Bladder diverticuli,Dry skin,Excessive muscle tone,Wormian bones,Stubby hair
Hypoglossia -- hypodactylia,Small  mouth,Breathing problems in some cases,Defective tooth enamel,Speech problems,Some teeth missing,Underdeveloped tongue
Hypoglossia -- hypomelia,Small  mouth,Breathing problems in some cases,Defective tooth enamel,Speech problems,Some teeth missing,Underdeveloped tongue
Robinow sorauf syndrome,Flat back of skull,Defective teeth,Broad toes,Prognathism,Premature fusion of sagittal skull bones,Ear deformities
Thrombocytopenia -- cerebellar hypoplasia -- short stature,Short statures,Spasticity,Dilated brain ventricles,Easy bruising,Small head,Abnormal brain development
Olivopontocerebellar atrophy,Eye movement problems,Hand tingling,Feeling faint on standing up,Bowel incontinence,Bladder incontinence,Numbness in hands
High blood pressure/hypertension,Nausea,General feeling of unwellness,Dizziness,Palpitations,Anxiety,High blood pressure
"Male pseudohermaphroditism, incomplete hereditary (type 1)",Scanty body hair,Pseudovagina,Absence of beard,Testes in abdomen,Phenotypic female,Sterile male
Petit-fryns syndrome,Short statures,Elbow joint contractures,Broad nose tip,Absent middle bones of fingers,Absent end bones of fingers,Loose skin on palms of hands
Pesticide poisoning -- triazine,Nausea,Impaired adrenal function,Diarrhea,Dermatitis,Disturbed thiamine function,Disturbed riboflavin function
Jeune syndrome,Short statures,Spurs on lower edge of sciatic notches,Horizontal acetabular roof,Cone-shaped epiphyses of fingers,Cone-shaped epiphyses of toes,Cystic tubular dysplasia
Non-food allergy -- yellow jacket wasp,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Throat swelling
"Spondylometaphyseal dysplasia, x-linked",Short statures,Strabismus,Wide nose bridge,Speech impairment,Antevereted nostrils,Stubby fingers
Corpus callosum agenesis,Large head,Small head,Grand mal seizures,Malformations of brain arteries,Mental deficiency,Abnormally small brain convolutions
Nakajo syndrome,Loss of body fatty tissue,Large lips,Thick fingers,Large eyes,Large ears,Emaciation
Nakajo-nishimura syndrome,Skin eruptions,Heart conduction defects,Amyotrophy,Blood vessel constriction,Reduced subcutaneous fat,Immunoglobulin dysfunction
Non-food allergy -- wasp,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Throat swelling
Biotinidase deficiency,Cerebellar atrophy,Muscle hypotonia,Glyosis of white matter,Conjunctivitis,Hearing loss,Feeding difficulties
Bint al zahab-induced lead poisoning,Loss of appetite,Hyperactivity,Dizziness,Behavioral problems,Impaired coordination,Encephalopathy
Rubella congenital syndrome,Enlarged liver,Pulmonary stenosis,Microcephaly,Small head,Psychomotor retardation,Hearing loss
Cocaine addiction,Nausea,Bleeding in mucous membranes,Secrecy about cocaine habit,Collapsed nasal septum,Loss of appetite,Lung damage
"Cfs subtype 5 (musculoskeletal, gastrointestinal)",Sore throat,Abnormal heart rhythm,Emotional lability,Unwell feeling,Dizziness,Anxiety
Cfs subtype 6 (postexertional),Sore throat,Abnormal heart rhythm,Emotional lability,Unwell feeling,Dizziness,Anxiety
Chromosome 15 inverted duplication,Strabismus,Flat back of skull,Low neck hairline,Short philtrum,Hyperactivity,Prominent mandible
Aromatic amino acid decarboxylase deficiency,Increased salivation,Emotional lability,Stridor,Reduced spontaneous movements,Tongue thrusting,Pinpoint pupils
Pfic,Short statures,Impaired growth,Enlarged liver,High blood alkaline phosphatase level,Hypoprothrombinemia,Increased serum liver enzymes
"Non-food allergy -- fungus, aureobasidium (pullularia)",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
"Non-food allergy -- fungus, candida albicans",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
"Non-food allergy -- fungus, cladosporium",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
"Non-food allergy -- fungus, epicoccum",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
"Non-food allergy -- fungus, fusarium",Conjunctivitis,Red-rimmed eyes,Nose rubbing,Chronic sinusitis,Breathing difficulties,Worsening of asthma
Acrosphenosyndactylia,Strabismus,Flat back of skull,Intellectual impairment,Vagina defects,Sunken appearance of midface,Hearing loss
Peroxisomal bifunctional enzyme deficiency,Club feet,Enlarged liver,High arched palate,Large head,Upslanting eye slits,Psychomotor retardation
Stachybotrys chartarum,Nausea,Sore throat,Burning throat sensation,Rhinitis,Boil on neck,Rashes
Tranquilizer addiction,Nausea,Uncontrollable craving for tranquilizers,Loss of appetite,Obsessive thoughts about tranquilizers,Secrecy about use of tranquilizers,Hallucinations
Non-food allergy -- hornet,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Throat swelling
Non-food allergy -- hydroxycitronellal,Nausea,Watery eyes,Loss of voice,Itchy skin,Skin redness,Tingling lips
Lymphangiectasies and lymphedema hennekam type,Lymphedema,Characteristic oriental facial features,Intestinal lymphangiectasia,Pulmonary lymphangiectasia,Increased blood protein levels,Flattened nose bridge
Lassa fever,Sore throat,Loss of appetite,Ringing in ears,Rashes,Facial swelling,Pharyngitis
Mohr syndrome,Rough hair,Reduced muscle tone,Joined fingers,Sparse hair,Tongue nodule,Dry scalp
Carcinoid syndrome,Nausea,Jugular vein distention,Enlarged liver,Insulin deficiency,Stridor,Telangiectasia
Ofd syndrome type ix,Small head,Duplicated toe,Rough hair,Joined fingers,Sparse hair,Retinal abnormalities
Pierre robin syndrome -- fetal chondrodysplasia,Rhizomelic chondrodysplasia,Myopia,Small jaw,Small nose,Coronal clefts of vertebrae,Wide set eyes
Food allergy -- turtle,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Sinus pain
Confabulation,Untrue stories which may be detailed or strange,Conviction in the false memory,True memories confused with false memories,History of damage to the brain,Imagination confused with memory,Neurological deficits
Autoimmune vasculitis,Nausea,Gastrointestinal haemorrhage,Angioedema,Purpura,Haematuria,Maculopapules
Hypospadias -- hypertelorism,Strabismus,Bifid scrotum,Abnormal opening between trachea and esophagus,Anteverted nostrils,Craniofacial abnormalities,Breathing difficulties
"Xeroderma pigmentosum, type 4",Abnormal eeg,Conjunctivitis,Corneal abnormalities,Melanoma,Impaired hearing,Basal cell carcinomas
Fahr's syndrome,Spasticity (stiffness of the limbs),Spasticity,Shuffling gait,Calcium deposits in brain,Small head,Round head
"Leigh syndrome, french canadian type",Spasms,Loss of appetite,Increased number of white blood cells in blood,Irritability in infant,Metabolic acidosis,Cross eyed
Occupational liver damage -- thallium,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- tetryl,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- phosphine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Klippel-trenaunay syndrome,Hypertrophy of soft tissue of limbs,Hypertrophy of bone tissue of limbs,Benign skin growths,Limb hypertrophy,Vascular lesions,Leg hypertrophy
Bird flu (avian influenza),Sore throat,Red throat,Watery eyes,Red nose,Loss of appetite,Aching body
Gastro-enteropancreatic neuroendocrine tumor,Zollinger-ellison syndrome,Palpitations,Achlorydia,Increased urine level of 5-hydroxyindoleacetic acid,Excess adrenocorticotropic hormone production,Excess growth-hormone-releasing hormone production
"Chromosome 21, tetrasomy 21q",Flat back of skull,Down slanting space between eyelids,Full cheeks,Small penis,Anteverted nostrils,Epicanthal folds
"Bardet-biedl syndrome, type 12",Short statures,Small penis,Delayed sexual development,Underdeveloped uterus,Aphakia,Retinal dystrophy
Arthrogryposis -- renal dysfunction -- cholestasis syndrome,Nephrocalcinosis,Amyotrophy,Kidney dysfunction,Talipes varus,Talipes valgus,Jaundice
Rhabdophobia,Nausea,Dry mouth,Anxiety,Trembling,Feeling of panic,Feeling of terror
Mycotoxin-induced liver damage -- luteoskyrins,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Mycotoxin-induced liver damage -- rubratoxin,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Mycotoxin-induced liver damage -- cyclochlorotine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Chromosome 13q duplication syndrome,Strabismus,Low set malformed ears,Hemangiomas,Soft ear cartilage,Polydactyly,Small head
Marie-bamberg syndrome,Thickened skin on face,Sweaty hands,Osteoporosis,Toe clubbing,Nail deformities,Warm fingertip sensation
Nytol -- teratogenic agent,Oral clefts,Genitourinary abnormalities,Extra digits,Hydrocephaly,Underdeveloped brain - cerebrum,Heart defect
Marburg virus,Nausea,Sore throat,Pancreatitis,Trunk rash,Headaches,Jaundice
Mountain andromeda poisoning,Nausea,Watery eyes,Tingling skin,Intoxication,Headaches,Cold sensation
Sea onion poisoning,Nausea,Skin redness,Diarrhea,Skin swelling,Skin blisters,Abdominal pain
Sea hare poisoning,Nausea,Hallucinations,Limb pains,Breathing difficulties,Impaired coordination,Restlessness
Hooft disease,Singed hair,Thin hair,Abnormal teeth,Red rash,Indoluria,Opaque leukonychia
Hookworm,Nausea,Vague abdominal pain,Black stool,Blood in stool,Gastrointestinal bleeding,Shortness of breath or wheezing
Barakat syndrome,Dry skin,Proteinuria,Muscle spasms,Irritability,Coarse skin,Kidney failure
Oxalosis,Nausea,Dry mouth,Nephrocalcinosis,Tetany,Osteoporosis,Hypocalcemia
Occupational liver damage -- n-nitrosodimethylamine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- n-heptane,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- n-n-dimethylacetamide,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Occupational liver damage -- n,n-dimethylformamide",Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Bardet-biedl syndrome, type 11",Short statures,Small penis,Delayed sexual development,Underdeveloped uterus,Aphakia,Retinal dystrophy
"Bardet-biedl syndrome, type 10",Short statures,Small penis,Delayed sexual development,Underdeveloped uterus,Aphakia,Retinal dystrophy
"Bardet-biedl syndrome, type 1",Short statures,Small penis,Delayed sexual development,Underdeveloped uterus,Aphakia,Retinal dystrophy
Alzheimer disease type 4,Agitation,Withdrawal,Personality changes,Gradual memory loss,Gradual loss of ability to function,Gradual loss of ability to perform familiar routine
Costello syndrome,Strabismus,Thin nails,Large head,Anal papillomata,Curly hair,Epicanthal folds
"Opitz g/bbb syndrome, autosomal dominant",Bifid scrotum,Abnormal opening between trachea and esophagus,Anteverted nostrils,Breathing difficulties,Widow's peak,Brain defect (corpus callosum)
"Opitz g/bbb syndrome, type ii",Bifid scrotum,Abnormal opening between trachea and esophagus,Anteverted nostrils,Breathing difficulties,Widow's peak,Brain defect (corpus callosum)
"Opitz g/bbb syndrome, x-linked",Bifid scrotum,Anteverted nostrils,Breathing difficulties,Widow's peak,Brain defect (corpus callosum),Cleft palate
Hydranencephaly,Involuntary muscle contractions,Normal reflexes,Blindness,Normal head size at birth but enlarges with age,Spasticity in legs,Spastic quadriparesis
Rieger syndrome,Strabismus,Failure of involution of periumbilical skin,Short philtrum,Iris dysplasia,Dyscoria,Blindness
Fine-lubinsky syndrome,Shallow eye orbits,Psychomotor delays,Small  mouth,Small scrotum,Cleft palate,Flat face
"Mental retardation, x-linked -- cubitus valgus -- typical face",Downturned mouth,Small head,Truncal obesity,Deep set eyes,Weak face muscles,Deviated elbow
Troell-junet syndrome,Muscle cramps,Heat intolerance,Hyperthyroidism,Frequent bowel motions,Restlessness,Toxic goiter
Neomycin -- teratogenic agent,Gastroschisis,Retal atresia,Cleft palate,Hydrocephaly,Neural tube defect,Heart defect
Chemical poisoning -- nitrobenzene,Nausea,Dizziness,Blue skin,Blue lips,Headaches,Confusion
Achondrogenesis type 1a and 1b,Poor bone formation of skull,Poor bone formation of vertebra,Poor bone formation of fibula,Poor bone formation of calcaneus,Large head,Poor bone formation of talus
Hypertrichotic osteochondrodysplasia,Lymphedema,Erlenmeyer flask shaped long bones,Wide bone metaphyses,Flattened spine bones,Coxa valga,Narrow shoulders
Hypertrophic cardiomyopathy,Dizziness,Breathlessness,Pounding heartbeat,Chest pain,Fainting from exertion,Sudden death
Benzthiazide -- teratogenic agent,Bowel obstruction,Potter's facies,Exencephaly,Patent ductus arteriosus,Hyperechogenic kidneys,Varus of the foot
Slowly progressive viliuisk encephalomyelitis,Nausea,Increased deep tendon reflexes,Extensor plantar responses,Death,Incontinence,Cortical atrophy
"Asperger syndrome, susceptibility to, 2",Social withdrawal,Impaired social skills,Limited interests,Clumsiness,Uncoordinated motor movements,Repetitive routines or rituals
"Asperger syndrome, susceptibility to, 3",Social withdrawal,Impaired social skills,Limited interests,Clumsiness,Uncoordinated motor movements,Repetitive routines or rituals
Slowly progressive viliuisk encephalitis,Nausea,Increased deep tendon reflexes,Extensor plantar responses,Death,Incontinence,Cortical atrophy
Slowly progressive vilyuisk encephalitis,Nausea,Increased deep tendon reflexes,Extensor plantar responses,Death,Incontinence,Cortical atrophy
"Asperger syndrome, x-linked, susceptibility to, 2",Social withdrawal,Impaired social skills,Limited interests,Clumsiness,Uncoordinated motor movements,Repetitive routines or rituals
"Asperger syndrome, x-linked, susceptibility to, 1",Social withdrawal,Impaired social skills,Limited interests,Clumsiness,Uncoordinated motor movements,Repetitive routines or rituals
Melnick-fraser syndrome,Lacrimal duct stenosis,Hearing loss,Hearling loss,Small ears,Narrowed tear ducts,Narrow ear canals
Letterer-siwe disease,Enlarged liver,Bruises,Enlarge lymph nodes,Chronic middle ear inflammation,Loss of tooth,Yellowish brown small skin bumps
